# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, WindX, WindY, WindZ
1.000000000000000021e-02,-3.275091071513524099e+01,5.108322312150640698e+01,1.381082937047830939e+01,9.999676424598693103e+00,9.999757577466965586e+00,9.999695458531379089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.010000000000000009e+00,-3.257531124584770055e+01,5.095591224995070689e+01,1.402041375916582489e+01,9.999028314161300557e+00,9.999270380544663439e+00,9.999616509914398321e+00,1.000000000000000000e+00,4.059147660493992449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.009999999999999787e+00,-3.215101156630374390e+01,5.028152687319195024e+01,1.419992273794562720e+01,9.997732916927336788e+00,9.998296300268174619e+00,9.999445862960815390e+00,1.000000000000000000e+00,3.749481972097639115e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.009999999999999787e+00,-3.122001750912284379e+01,4.852228644315117378e+01,1.431815697518156583e+01,9.995791779422759760e+00,9.996836087703705687e+00,9.999688164699078285e+00,1.000000000000000000e+00,3.206233664310297327e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.009999999999999787e+00,-2.972754022950208963e+01,4.573297980463131296e+01,1.436849083527760662e+01,9.993211826062202263e+00,9.994898924422264130e+00,1.000027778050899485e+01,1.000000000000000000e+00,2.138905494054476608e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.009999999999999787e+00,-2.761574327724365929e+01,4.198484435900085288e+01,1.434369814307246216e+01,9.990005613207816992e+00,9.992503230547905346e+00,1.000114606772661219e+01,1.000000000000000000e+00,1.204458078644750074e-01,1.684013189956556911e-02,1.442941322079427380e-02,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.009999999999999787e+00,-2.501066959739458184e+01,3.762862026835279039e+01,1.423373029163304970e+01,9.986193963003158203e+00,9.989680447471142699e+00,1.000227319316864083e+01,7.650258911155257691e-01,4.617556214921059166e-02,3.810093457138302719e-01,1.157892010214334189e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
7.009999999999999787e+00,-2.208548237412791693e+01,3.300384950792307137e+01,1.403720562156970608e+01,9.981806062483787656e+00,9.986474619960786114e+00,1.000358823759555804e+01,4.345186338394838588e-01,1.235893276128102736e-02,6.779462614409801358e-01,1.831761719582550019e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
8.009999999999999787e+00,-1.917886782041345128e+01,2.862186675287329152e+01,1.375277891145107567e+01,9.976879455184937129e+00,9.982941388964654550e+00,1.000509756791591620e+01,1.814694023741703910e-01,1.023273872855506861e-02,8.939214582975087975e-01,2.223764005997657389e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
9.009999999999999787e+00,-1.657579062552752802e+01,2.482687237103885636e+01,1.338758897211708820e+01,9.971457225918770817e+00,9.979143010598422237e+00,1.000675129113495387e+01,7.956944185821054893e-02,4.392164712664797799e-02,9.552094533054040770e-01,2.292994577097373921e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
